meta,sender,sender_type,sender_id,response,ended_on,instrCount,time_run,time_render,time_show,time_end,duration,time_commit,timestamp,time_switch,openLabId,type,task,project,move,trialN,blockN_Train,blockN,moveCount,currPP,points,movesTrial,visitedFields,diff,reward,Strategie,Zweck,Probleme
[object Object],Screen_1,canvas.Screen,0_0_0_0,cont,response,1,550,549.98,573.64,9761,9187.36,9772,2021-10-27T13:11:01.893Z,9857.1,1635340246,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_0_1,cont,response,1,9856,9856.12,9857.1,17464,7606.9,17475,2021-10-27T13:11:09.596Z,17557.2,1635340246,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_0_2,cont,response,1,17554,17553.78,17557.2,27355,9797.8,27368,2021-10-27T13:11:19.491Z,27374,1635340246,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_0_3,cont,response,1,27371,27371.6,27374,32089,4715,32096,2021-10-27T13:11:24.218Z,32207.4,1635340246,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_0,,completion,1,506,549.98,573.64,32089,31515.36,32097,2021-10-27T13:11:24.218Z,32207.4,1635340246,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_1_0,,skipped,2,32099,,,32099,,32099,2021-10-27T13:11:24.221Z,32207.4,1635340246,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_1_1,,skipped,2,32101,,,32099,,32101,2021-10-27T13:11:24.223Z,32207.4,1635340246,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_1_2,,skipped,2,32102,,,32099,,32102,2021-10-27T13:11:24.224Z,32207.4,1635340246,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_1_3,,skipped,2,32103,,,32099,,32103,2021-10-27T13:11:24.225Z,32207.4,1635340246,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_1,,completion,2,32098,,,32099,,32103,2021-10-27T13:11:24.225Z,32207.4,1635340246,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_2_0,,skipped,3,32104,,,32104,,32104,2021-10-27T13:11:24.226Z,32207.4,1635340246,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_2_1,,skipped,3,32106,,,32104,,32106,2021-10-27T13:11:24.228Z,32207.4,1635340246,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_2_2,,skipped,3,32107,,,32104,,32107,2021-10-27T13:11:24.229Z,32207.4,1635340246,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_2_3,,skipped,3,32108,,,32104,,32108,2021-10-27T13:11:24.230Z,32207.4,1635340246,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_2,,completion,3,32103,,,32104,,32108,2021-10-27T13:11:24.230Z,32207.4,1635340246,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_3_0,,skipped,4,32110,,,32110,,32110,2021-10-27T13:11:24.231Z,32207.4,1635340246,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_3_1,,skipped,4,32111,,,32110,,32111,2021-10-27T13:11:24.233Z,32207.4,1635340246,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_3_2,,skipped,4,32113,,,32110,,32113,2021-10-27T13:11:24.235Z,32207.4,1635340246,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_3_3,,skipped,4,32115,,,32110,,32115,2021-10-27T13:11:24.237Z,32207.4,1635340246,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_3,,completion,4,32109,,,32110,,32115,2021-10-27T13:11:24.237Z,32207.4,1635340246,full,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,,,,
