meta,sender,sender_type,sender_id,response,ended_on,instrCount,time_run,time_render,time_show,time_end,duration,time_commit,timestamp,time_switch,openLabId,type,task,project,move,trialN,blockN_Train,blockN,moveCount,currPP,points,movesTrial,visitedFields,diff,reward
[object Object],Screen_1,canvas.Screen,0_0_0_0,cont,response,1,788.2999999523163,787.053,836.956,3338.2000000476837,2501.2440000476836,3339.7000000476837,2021-10-27T16:22:10.560Z,3454.296,1635351725,incremental,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_0_1,cont,response,1,3444.2000000476837,3437.612,3454.296,5668.900000095367,2214.6040000953676,5670.299999952316,2021-10-27T16:22:12.891Z,5771.598,1635351725,incremental,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_0_2,cont,response,1,5757.400000095367,5755.527,5771.598,16316.299999952316,10544.701999952316,16316.900000095367,2021-10-27T16:22:23.537Z,16324.134,1635351725,incremental,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_0_3,cont,response,1,16320.799999952316,16307.004,16324.134,17994.200000047684,1670.0660000476837,17995.5,2021-10-27T16:22:25.216Z,18125.141,1635351725,incremental,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_0,,completion,1,732.7999999523163,787.053,836.956,17994.200000047684,17157.244000047685,18000.700000047684,2021-10-27T16:22:25.221Z,18125.141,1635351725,incremental,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,
,Screen_1,canvas.Screen,0_0_1_0,,skipped,2,18007,,,18007,,18007.299999952316,2021-10-27T16:22:25.228Z,18125.141,1635351725,incremental,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,
,Screen_2,canvas.Screen,0_0_1_1,,skipped,2,18011.900000095367,,,18007,,18012.299999952316,2021-10-27T16:22:25.233Z,18125.141,1635351725,incremental,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,
,Screen_3,canvas.Screen,0_0_1_2,,skipped,2,18016.799999952316,,,18007,,18017.099999904633,2021-10-27T16:22:25.238Z,18125.141,1635351725,incremental,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,
,Screen_4,canvas.Screen,0_0_1_3,,skipped,2,18019.5,,,18007,,18020,2021-10-27T16:22:25.241Z,18125.141,1635351725,incremental,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,
,Sequence,flow.Sequence,0_0_1,,completion,2,18002.900000095367,,,18007,,18020.400000095367,2021-10-27T16:22:25.241Z,18125.141,1635351725,incremental,ni_sequenzen,NI_Sequenzen,,,,,,,,,,,
